Roll,Pitch,Direction
96,107,Left
96,106,Left
96,106,Left
96,106,Left
96,106,Left
95,104,Left
94,102,Motionless
94,100,Motionless
94,98,Motionless
94,96,Motionless
94,94,Right
94,93,Right
94,92,Right
94,91,Right
94,91,Right
94,91,Right
94,91,Right
94,91,Right
94,91,Right
94,92,Right
94,92,Right
94,94,Right
94,97,Motionless
94,99,Motionless
95,101,Motionless
95,102,Motionless
95,103,Left
95,104,Left
95,105,Left
95,105,Left
95,106,Left
96,106,Left
96,106,Left
96,106,Left
96,106,Left
96,106,Left
96,106,Left
95,105,Left
94,102,Motionless
94,99,Motionless
94,97,Motionless
93,95,Motionless
93,94,Right
93,92,Right
93,91,Right
93,90,Right
93,90,Right
93,89,Right
94,89,Right
94,89,Right
94,89,Right
94,89,Right
94,90,Right
94,90,Right
94,91,Right
94,91,Right
94,91,Right
94,92,Right
94,95,Motionless
95,96,Motionless
95,97,Motionless
95,99,Motionless
95,100,Motionless
96,102,Motionless
96,103,Left
96,104,Left
96,104,Left
96,105,Left
96,105,Left
96,105,Left
96,105,Left
96,105,Left
96,105,Left
96,105,Left
96,105,Left
96,104,Left
95,101,Motionless
94,99,Motionless
94,97,Motionless
94,95,Motionless
94,94,Right
94,93,Right
94,92,Right
94,91,Right
94,91,Right
94,91,Right
94,91,Right
94,91,Right
94,91,Right
94,91,Right
94,91,Right
94,92,Right
94,92,Right
94,93,Right
94,95,Motionless
95,98,Motionless
95,100,Motionless
95,101,Motionless
95,103,Left
96,104,Left
96,105,Left
96,106,Left
96,107,Left
96,107,Left
96,107,Left
97,107,Left
97,107,Left
97,107,Left
97,106,Left
96,105,Left
96,103,Left
95,100,Motionless
95,98,Motionless
95,96,Motionless
95,95,Motionless
95,93,Right
95,93,Right
94,92,Right
95,92,Right
95,93,Right
95,93,Right
95,93,Right
95,94,Right
95,94,Right
95,94,Right
95,95,Motionless
95,95,Motionless
95,95,Motionless
95,95,Motionless
95,95,Motionless
95,96,Motionless
